"__export__.ciudades_1","__export__.ciudades_1_2","Puerto Ayacucho","Pay"
"__export__.ciudades_2","__export__.ciudades_2_7","Anaco","Anc"
"__export__.ciudades_3","__export__.ciudades_2_8","Barcelona","Bar"
"__export__.ciudades_5","__export__.ciudades_2_9","Cantaura","Can"
"__export__.ciudades_6","__export__.ciudades_2_10","El Tigre","Tig"
"__export__.ciudades_7","__export__.ciudades_2_11","Puerto La Cruz","Plc"
"__export__.ciudades_8","__export__.ciudades_2_12","San José de Guanipa","Sjg"
"__export__.ciudades_9","__export__.ciudades_3_4","Biruaca","Bir"
"__export__.ciudades_10","__export__.ciudades_3_5","Guasdualito","Gto"
"__export__.ciudades_11","__export__.ciudades_3_6","San Fernando de Apure","Sfa"
"__export__.ciudades_12","__export__.ciudades_4_10","Cagua","Cag"
"__export__.ciudades_13","__export__.ciudades_4_11","El Consejo","Con"
"__export__.ciudades_14","__export__.ciudades_4_12","El Limón","Lim"
"__export__.ciudades_15","__export__.ciudades_4_13","La Victoria","Vic"
"__export__.ciudades_16","__export__.ciudades_4_14","Las Tejerías","Tej"
"__export__.ciudades_17","__export__.ciudades_4_15","Maracay","Mry"
"__export__.ciudades_18","__export__.ciudades_4_16","Palo Negro","Png"
"__export__.ciudades_19","__export__.ciudades_4_17","San Mateo","Smt"
"__export__.ciudades_20","__export__.ciudades_4_18","Turmero","Tmr"
"__export__.ciudades_21","__export__.ciudades_4_19","Villa de Cura","Vdc"
"__export__.ciudades_22","__export__.ciudades_5_2","Barinas","Brn"
"__export__.ciudades_23","__export__.ciudades_6_4","Ciudad Bolívar","Cbv"
"__export__.ciudades_24","__export__.ciudades_6_5","Ciudad Guayana","Cgy"
"__export__.ciudades_25","__export__.ciudades_6_6","Upata","Upt"
"__export__.ciudades_26","__export__.ciudades_7_9","Guacara","Gcr"
"__export__.ciudades_27","__export__.ciudades_7_10","Güigüe","Gui"
"__export__.ciudades_28","__export__.ciudades_7_11","Mariara","Mra"
"__export__.ciudades_29","__export__.ciudades_7_12","Morón","mrn"
"__export__.ciudades_30","__export__.ciudades_7_13","Puerto Cabello","Pca"
"__export__.ciudades_31","__export__.ciudades_7_14","San Joaquín","Snj"
"__export__.ciudades_32","__export__.ciudades_7_15","Tacarigua","Tcr"
"__export__.ciudades_33","__export__.ciudades_7_16","Valencia","Val"
"__export__.ciudades_34","__export__.ciudades_8_3","San Carlos","Sca"
"__export__.ciudades_35","__export__.ciudades_8_4","Tinaquillo","Tnq"
"__export__.ciudades_6","__export__.ciudades_12","Altagracia de Orituco","ado"
"__export__.ciudades_11","__export__.ciudades_13","Barquisimeto","bto"
"__export__.ciudades_16","__export__.ciudades_14","Baruta","bta"
"__export__.ciudades_12","__export__.ciudades_13_1","Cabudare","cbd"
"__export__.ciudades_7","__export__.ciudades_12_1","Calabozo","clb"
"__export__.ciudades_2","__export__.ciudades_10","Caracas","ccs"
"__export__.ciudades_44","__export__.ciudades_16_1","Caripito","crp"
"__export__.ciudades_13","__export__.ciudades_13_2","Carora","crr"
"__export__.ciudades_20","__export__.ciudades_15","Carrizal","crz"
"__export__.ciudades_21","__export__.ciudades_15_1","Caucagüita","ccg"
"__export__.ciudades_22","__export__.ciudades_15_2","Chacao","cco"
"__export__.ciudades_23","__export__.ciudades_15_3","Charallave","cha"
"__export__.ciudades_3","__export__.ciudades_11_1","Coro","cor"
"__export__.ciudades_24","__export__.ciudades_15_4","Cúa","cua"
"__export__.ciudades_17","__export__.ciudades_14_1","Ejido","ejd"
"__export__.ciudades_25","__export__.ciudades_15_5","El Cafetal","cft"
"__export__.ciudades_26","__export__.ciudades_15_6","El Hatillo","htl"
"__export__.ciudades_14","__export__.ciudades_13_3","El Tocuyo","tcy"
"__export__.ciudades_41","__export__.ciudades_15_7","Guanare","gnr"
"__export__.ciudades_27","__export__.ciudades_15_8","Guarenas","grn"
"__export__.ciudades_28","__export__.ciudades_15_9","Guatire","gtr"
"__export__.ciudades_29","__export__.ciudades_15_10","La Dolorita","dlr"
"__export__.ciudades_30","__export__.ciudades_15_11","Los Dos Caminos","dcm"
"__export__.ciudades_31","__export__.ciudades_15_12","Los Teques","tqs"
"__export__.ciudades_45","__export__.ciudades_16_2","Maturín","mtr"
"__export__.ciudades_19","__export__.ciudades_14_2","Mérida","mer"
"__export__.ciudades_32","__export__.ciudades_15_13","Ocumare del Tuy","odt"
"__export__.ciudades_33","__export__.ciudades_15_14","Petare","ptr"
"__export__.ciudades_4","__export__.ciudades_11_2","Punta Cardón","ptc"
"__export__.ciudades_5","__export__.ciudades_11_3","Punto Fijo","ptf"
"__export__.ciudades_15","__export__.ciudades_13_4","Quibor","qbo"
"__export__.ciudades_34","__export__.ciudades_15_15","San Antonio de los Altos","saa"
"__export__.ciudades_8","__export__.ciudades_12_2","San Juan de Los Morros","sjm"
"__export__.ciudades_35","__export__.ciudades_15_16","Santa Lucía","stl"
"__export__.ciudades_36","__export__.ciudades_15_17","Santa Teresa del Tuy","stt"
"__export__.ciudades_1","__export__.ciudades_9","Tucupita","tcp"
"__export__.ciudades_9","__export__.ciudades_12_3","Valle de la Pascua","vdp"
"__export__.ciudades_10","__export__.ciudades_12_4","Zaraza","zrz"
"__export__.ciudades_2","__export__.ciudades_18","Acarigua","acr"
"__export__.ciudades_3","__export__.ciudades_18_1","Araure","aru"
"__export__.ciudades_31","__export__.ciudades_24","Bachaquero","bcq"
"__export__.ciudades_32","__export__.ciudades_24_1","Cabimas","cbm"
"__export__.ciudades_18","__export__.ciudades_22","Caraballeda","crb"
"__export__.ciudades_1","__export__.ciudades_16","Carapito","crp"
"__export__.ciudades_6","__export__.ciudades_19","Carúpano","cru"
"__export__.ciudades_19","__export__.ciudades_22_1","Catia La Mar","clm"
"__export__.ciudades_25","__export__.ciudades_23","Chivacoa","chi"
"__export__.ciudades_33","__export__.ciudades_24_2","Ciudad Ojeda","coj"
"__export__.ciudades_26","__export__.ciudades_23_1","Cocorote","crt"
"__export__.ciudades_7","__export__.ciudades_19_1","Cumaná","cum"
"__export__.ciudades_4","__export__.ciudades_18_2","Guanare","gnr"
"__export__.ciudades_27","__export__.ciudades_23_2","Independencia","idp"
"__export__.ciudades_20","__export__.ciudades_22_2","La Asunción","asn"
"__export__.ciudades_21","__export__.ciudades_22_3","La Guaira","gua"
"__export__.ciudades_34","__export__.ciudades_24_3","Lagunillas","lag"
"__export__.ciudades_35","__export__.ciudades_24_4","Machiques","mcq"
"__export__.ciudades_22","__export__.ciudades_22_4","Maiquetiá","mai"
"__export__.ciudades_36","__export__.ciudades_24_5","Maracaibo","mbo"
"__export__.ciudades_17","__export__.ciudades_16_1","Maturín","mtr"
"__export__.ciudades_8","__export__.ciudades_20_1","Palmira","pal"
"__export__.ciudades_23","__export__.ciudades_22_5","Porlamar","por"
"__export__.ciudades_9","__export__.ciudades_20_2","Rubio","rub"
"__export__.ciudades_10","__export__.ciudades_20_3","San Antonio del Táchira","sat"
"__export__.ciudades_37","__export__.ciudades_24_6","San Carlos del Zulia","scz"
"__export__.ciudades_11","__export__.ciudades_20_4","San Cristóbal","sct"
"__export__.ciudades_28","__export__.ciudades_23_3","San Felipe","sfe"
"__export__.ciudades_29","__export__.ciudades_23_4","San Felipe","sfe"
"__export__.ciudades_12","__export__.ciudades_20_5","San Josecito","sjo"
"__export__.ciudades_13","__export__.ciudades_20_6","San Juan de Colón","sjc"
"__export__.ciudades_38","__export__.ciudades_24_7","Santa Rita","srt"
"__export__.ciudades_14","__export__.ciudades_20_7","Táriba","trb"
"__export__.ciudades_15","__export__.ciudades_21_1","Trujillo","tru"
"__export__.ciudades_16","__export__.ciudades_21_2","Valera","vlr"
"__export__.ciudades_5","__export__.ciudades_18_3","Villa Bruzual","vbz"
"__export__.ciudades_39","__export__.ciudades_24_8","Villa del Rosario","vrs"
"__export__.ciudades_24","__export__.ciudades_22_6","Villa Rosa","vro"
"__export__.ciudades_30","__export__.ciudades_23_5","Yaritagua","yrt"
